"","20020101","20020102","20020103","20020104","20020105","20020106","20020107","20020108","20020109","20020110","20020111","20020112","20020113","20020114","20020115","20020116","20020117","20020118","20020119","20020120","20020121","20020122"
"20020101",2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1
"20020102",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
"20020103",1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,3,3,2,2,1,2
"20020104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20020105",1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2
"20020106",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,3,1,1,1,2
"20020107",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"20020108",1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1
"20020109",1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"20020110",1,1,1,1,2,1,1,3,1,2,1,2,1,1,1,2,2,3,3,1,1,3
"20020111",1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,2,2,3,1,1,1,3
"20020112",1,1,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2
"20020113",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"20020114",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1
"20020115",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"20020116",1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,1,1,2,2
"20020117",1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,3,3,1,2,2,2
"20020118",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1
"20020119",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"20020120",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1
"20020121",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1
"20020122",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2
