"","20020101","20020102","20020103","20020104","20020105","20020106","20020107","20020108","20020109","20020110","20020111","20020112","20020113","20020114","20020115","20020116","20020117","20020118","20020119","20020120","20020121","20020122"
"20020101",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20020102",2,1,2,1,2,3,2,1,1,1,2,2,1,2,1,1,1,1,3,2,1,2
"20020103",2,3,2,1,2,3,2,1,1,2,1,2,2,2,2,1,1,1,2,2,3,1
"20020104",2,3,3,2,3,2,2,2,1,2,2,2,2,3,2,1,1,1,2,2,3,1
"20020105",1,2,2,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1
"20020106",2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1
"20020107",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"20020108",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20020109",2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,1
"20020110",3,3,2,3,1,3,2,1,1,1,1,2,3,1,1,1,2,1,1,3,3,1
"20020111",1,2,2,1,3,2,2,1,1,2,2,2,1,2,1,1,1,1,2,1,2,1
"20020112",1,3,1,2,2,3,2,1,1,2,1,1,2,2,1,1,1,1,2,2,2,1
"20020113",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"20020114",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20020115",1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20020116",1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1
"20020117",1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1
"20020118",1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"20020119",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"20020120",2,3,2,1,2,3,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1
"20020121",1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"20020122",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
