"","18020101","18020102","18020103","18020104","18020105","18020106","18020107","18020108","18020109","18020110","18020111","18020151","18020152","18020153","18020154","18020155","18020156","18020157"
"18020101",2,1,1,1,2,2,2,2,2,1,2,1,1,2,1,1,2,1
"18020102",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18020103",2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
"18020104",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
"18020105",2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1
"18020106",1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,1
"18020107",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18020108",3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1
"18020109",1,1,2,1,2,2,2,1,2,1,2,2,1,1,1,1,2,1
"18020110",2,1,2,3,3,3,1,2,1,2,3,1,1,2,2,1,2,2
"18020111",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18020151",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18020152",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18020153",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18020154",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18020155",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18020156",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18020157",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
