"","19030101","19030102","19030103","19030104","19030105","19030106","19030107","19030108","19030109","19030110","19030111","19030112","19030113","19030114","19030115","19030116","19030117"
"19030101",2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
"19030102",2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1
"19030103",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19030104",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19030105",1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1
"19030106",2,2,2,2,2,2,1,2,1,1,2,1,1,2,1,1,1
"19030107",3,1,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1
"19030108",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19030109",1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1
"19030110",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19030111",2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"19030112",1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"19030113",1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"19030114",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"19030115",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"19030116",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19030117",1,1,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1
