"","10020101","10020102","10020103","10020104","10020105","10020106","10020107","10020108","10020109","10020110","10020111","10020112","10020113","10020114","10020115","10020116","10020117","10020118","10020119","10020151","10020152"
"10020101",2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1
"10020102",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1
"10020103",2,1,2,1,1,2,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1
"10020104",2,1,1,2,3,1,2,1,2,1,2,1,1,1,2,2,1,1,1,2,1
"10020105",3,1,2,3,3,1,2,2,1,1,2,2,2,1,3,3,3,3,1,3,1
"10020106",2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1
"10020107",2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10020108",2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,2,1
"10020109",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"10020110",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"10020111",3,1,1,2,2,2,1,2,1,1,3,1,2,1,1,2,2,1,1,1,1
"10020112",3,2,3,1,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,2,1
"10020113",2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1
"10020114",2,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,2,3,1
"10020115",3,1,1,1,3,2,1,1,2,2,2,1,1,1,3,2,2,1,1,1,1
"10020116",3,1,1,2,2,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1
"10020117",2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1
"10020118",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2
"10020119",3,1,1,3,3,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1
"10020151",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"10020152",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
